Screen ID,Screen Name,Description,Display / Fields,User Feedback,Status,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dashboard,Page that show the account summary,"- Sales Target (Family Channel Only)
- Available Credit Limit
- Processing Order
- Processing Claim
- Last 3 months warranty registered
- Campaign",,,,,,,,,,,,,,,,,,,,,,
2,Place Order,"Select Order type

Perform Credit Limit check everytime this access Place Order function, if credit check fail, email notify Credit Control admin

** New ETEN Dealer account, First Order Min 20pcs","- Clearence Order
- Normal Order
- Direct Shipment",,,,,,,,,,,,,,,,,,,,,,
2.1,Credit Limit Check,"SAP API: Account No SAP to return Total Credit Limit, Available Credit and Account Status",Eg. Credit Limit 888/80000,,,,,,,,,,,,,,,,,,,,,,
2.2,GET Ship to,"SAP API: Get Ship to list for the Main Account

*This API only call if the accoun this Main Account end with '00', for non main account delivery only to own branch.",[ to discuss with SAP on variables and format],,,,,,,,,,,,,,,,,,,,,,
2.3,Clearance Program,"If is Main account with Multiple Ship to, system will prompt to select Ship to before clearence program show.

List of Clearance Program created by OM will display here for dealer selection, dealer click on the program name to continue","- Program name
- Period
- Description",,,,,,,,,,,,,,,,,,,,,,
2.3.1,Clearance SKU List,"SAP API:
SAP to return clearence product list with price and stock balance, based on Shipping Point & Program Code","- Filter (Pattern, Size)
- Pattern, 
- Size, 
- DOT (year), 
- origin, 
- Program Price
- qty
- add to cart button",,,,,,,,,,,,,,,,,,,,,,
2.3.2,Clearance Product,List of Clearance Product,"- Tire Pattern, Size, Price
- Qty
- Add to Cart button",,,,,,,,,,,,,,,,,,,,,,
2.4,Select Product,"to create normal order, search and select product
OR select from quick order list - top 10 items (base on latest 6 months order)","- Filter (Pattern, Size)
- Pattern, 
- Size, 
- DOT (year), 
- origin, 
- stock status (color), 
- Invoice Price
- qty
- add to cart button",,,,,,,,,,,,,,,,,,,,,,
2.4.1,Get Price & Stock,"SAP API: 
SAP to return stock balance & price group price
using Material Code, Shipping Point, Dealer bill to Acc",[ to discuss with SAP on variables and format],,,,,,,,,,,,,,,,,,,,,,
2.4.2,Cart,"List of selected product with SAP return price by Material/SKU

If total exceeded Credit Limit, warning will show

Delivery location only available for Main Account, else ship to only show branch account.

Pick up option only available for Normal Order","- Order Type (Normal / Clearance)
- Pattern, 
- Size, 
- DOT (year), 
- Invoice Price
- qty
- total
- Delivery Type (Deliver / Pick Up)
- Delivery Location
- for Pick-up (Self-collection/Lalamove)
- for Pick-up (Driver Name & Plate)
- Remark
- check out button",,,,,,,,,,,,,,,,,,,,,,
